seed,n_subset,bh_purity,aug_purity,bh_meanlam,aug_meanlam
0,76,0.3125,0.25,0.11924493118849364,0.03410662409120569
1,76,0.3125,0.3125,0.13956928404692637,0.04311195249144297
2,76,0.3125,0.375,0.0963630066406756,0.053651466323432616
3,76,0.25,0.25,0.133263426789477,0.027176111897361944
4,76,0.25,0.3125,0.11111138727487682,0.04725609083034413
5,76,0.3125,0.25,0.08706237298345415,0.054803331059389226
6,76,0.3125,0.3125,0.14138715996503387,0.0532673121954281
7,76,0.25,0.3125,0.16898351331654782,0.04112296970767386
