,FOOD,SCIENCE,TOOL,COLOUR
FOOD,0.9999999997053131,-0.5950024776857682,-0.0046537465135357645,-0.1570568371314923
SCIENCE,-0.5950024776857682,0.9999999998027148,-0.13129226357197915,-0.2523469838965568
TOOL,-0.0046537465135357645,-0.13129226357197915,0.9999999998733337,-0.8039870664398707
COLOUR,-0.1570568371314923,-0.2523469838965568,-0.8039870664398707,0.9999999998970384
