theta,purity,coverage,n_boundary,n_unassigned
0.2,0.22950819672131148,0.6354166666666666,53,35
0.25,0.27419354838709675,0.6458333333333334,55,34
0.3,0.26666666666666666,0.625,55,36
0.35,0.265625,0.6666666666666666,55,32
0.4,0.25806451612903225,0.6458333333333334,55,34
0.45,0.28125,0.6666666666666666,56,32
0.5,0.21875,0.6666666666666666,56,32
0.55,0.25757575757575757,0.6875,56,30
0.6,0.208955223880597,0.6979166666666666,57,29
0.65,0.25,0.7083333333333334,60,28
