L0_srq,L1_srq,L2_srq,L3_srq,L4_srq,L5_srq,word,field
0.08719296164671722,0.05375249147350384,0.051613676163222155,0.05974891102333983,0.07677666502547573,0.07349131739339217,bread,FOOD
0.0898172780870493,0.059870932251155105,0.055708780884687024,0.061737481504616984,0.08301146328440948,0.08127766847602345,rice,FOOD
0.08726319670668457,0.06530386209481384,0.06295299530023,0.06718721985810236,0.08581724762907983,0.08281856775275531,soup,FOOD
0.08751265257739049,0.0576786244127918,0.055612675024534285,0.0638327004113394,0.07276416692299324,0.07235097257499286,cake,FOOD
0.0940884612903204,0.06292867665626392,0.059510558487183965,0.06912291873959767,0.0805084950337195,0.07361418886346476,pizza,FOOD
0.09007866680613093,0.06012715399259276,0.06686925142996776,0.060954879969297486,0.07975403964511525,0.0785653665661026,pasta,FOOD
0.09399549293454938,0.05668112193711358,0.05982817677589356,0.0625696852885676,0.07179183623686242,0.07245399921576874,salad,FOOD
0.08551736921063453,0.059730403125226365,0.05972512811416375,0.07003256678574234,0.08107326924792765,0.0803429633378179,curry,FOOD
0.09082358260707896,0.06208201115292329,0.060675188463910575,0.06473495864503077,0.0828984204883749,0.07231766964611204,cheese,FOOD
0.08954284662510104,0.058775901350427665,0.0571576127001206,0.05895632463167072,0.07601272475863542,0.07715221669096584,butter,FOOD
0.09658274054517624,0.06255900859826508,0.06393121182912155,0.0647905170916863,0.074646852910444,0.07535509765140627,cream,FOOD
0.08367133639275626,0.05850551253584212,0.051175187598128856,0.06015417338330532,0.0733086063449011,0.07912633294612202,jam,FOOD
0.0797973722218669,0.05953023955219991,0.054976545274202676,0.062474682927069175,0.08127105981103398,0.07590113580219307,honey,FOOD
0.0952201244365291,0.05934622492463763,0.0560814399171173,0.06250746920743111,0.07814872730656959,0.0797770219907572,chocolate,FOOD
0.0892983611109887,0.061748791665065125,0.05702727418481984,0.05811117694105609,0.0712880024222609,0.07680754022410813,coffee,FOOD
0.08596978616345703,0.06116317941697435,0.05311898775321748,0.06293266271735845,0.07460612948006436,0.07937250487468708,tea,FOOD
0.08526489409973369,0.052941362165322074,0.054131678239253064,0.06956832195135812,0.08002346962962131,0.0825566598839721,wine,FOOD
0.09150730073442845,0.05732736364001263,0.056299075484219516,0.06150072067969847,0.08125671744338492,0.06974140554659544,beer,FOOD
0.09018333671282609,0.05778826084271125,0.052451261585748005,0.0571394271087758,0.07857120590545355,0.07965072039945262,milk,FOOD
0.09036246687164806,0.055822160094920595,0.05013760179276221,0.05579161643976354,0.07137811928980364,0.08147095143786866,sugar,FOOD
0.08024128848513959,0.06296849984675312,0.05926031696544515,0.062303207861550046,0.08607497249237692,0.07337181010911038,atom,SCIENCE
0.0911812836634966,0.06186451386591649,0.054754320070350256,0.0683036263765383,0.08149006703428625,0.07526249142058067,electron,SCIENCE
0.09132417291393684,0.056784391403141454,0.05474113300437221,0.06028754636639288,0.07564067840568607,0.07093723118298112,proton,SCIENCE
0.09781309962262862,0.05877361446613156,0.061912246048388554,0.06689582020037636,0.08786689490071092,0.07797864079467605,neutron,SCIENCE
